timestamp | transaction_id | account_id | transaction_type | amount | location | status
2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-11 09:18:40 | T1002 | A10025 | TRANSFER | 6500.00 | Brisbane | APPROVED
2026-07-11 09:20:12 | T1003 | A10025 | ONLINE_PURCHASE | 120.00 | Sydney | DECLINED
2026-07-11 09:22:05 | T1004 | A20318 | CASH_WITHDRAWAL | 500.00 | Gold Coast | APPROVED
2026-07-11 09:25:10 | T1005 | A10025 | CARD_PAYMENT | 250.00 | Melbourne | DECLINED
2026-07-11 09:27:15 | T1006 | A10025 | ONLINE_PURCHASE | 180.00 | Brisbane | DECLINED
2026-07-11 09:29:30 | T1007 | A10025 | TRANSFER | 320.00 | Sydney | DECLINED
2026-07-11 09:35:45 | T1008 | A10025 | CARD_PAYMENT | 450.00 | Melbourne | APPROVED
2026-07-11 10:05:20 | T1009 | A10025 | TRANSFER | 900.00 | Perth | APPROVED
2026-07-11 10:15:10 | T1010 | A20318 | ONLINE_PURCHASE | 75.00 | Gold Coast | APPROVED
2026-07-11 10:30:25 | T1011 | A30456 | CARD_PAYMENT | 120.00 | Brisbane | APPROVED
2026-07-11 10:45:40 | T1012 | A30456 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-11 11:00:15 | T1013 | A30456 | CASH_WITHDRAWAL | 300.00 | Brisbane | APPROVED
2026-07-11 11:15:30 | T1014 | A40567 | ONLINE_PURCHASE | abc | Sydney | APPROVED
2026-07-11 11:30:45 | T1015 | A40567 | CARD_PAYMENT | 0.00 | Sydney | APPROVED
2026-07-11 11:45:00 | TX001 | A40567 | TRANSFER | 500.00 | Sydney | APPROVED
